date,total,0_to_5,6_to_17,18_to_24,25_to_34,35_to_44,45_to_54,55_to_64,65_to_74,75_to_84,85plus,age_unknown,total_wout_unknown,0_to_34,35_to_54,55_to_74,75plus
06/09/2021,804,21,25,36,52,78,91,100,136,154,111,0,804,134,169,236,265
07/09/2021,782,16,17,25,66,68,87,107,140,155,101,0,782,124,155,247,256
08/09/2021,880,16,24,22,73,76,107,122,158,164,118,0,880,135,183,280,282
09/09/2021,777,20,23,20,74,70,89,116,121,145,96,3,774,137,159,237,241
10/09/2021,668,17,15,23,60,76,74,76,121,131,71,4,664,115,150,197,202
11/09/2021,638,21,20,16,43,62,56,83,105,126,104,2,636,100,118,188,230
12/09/2021,645,18,17,18,49,52,71,90,111,132,87,0,645,102,123,201,219
13/09/2021,678,9,18,26,54,60,66,104,116,133,92,0,678,107,126,220,225
14/09/2021,687,13,14,23,48,67,72,102,123,149,76,0,687,98,139,225,225
15/09/2021,680,9,22,15,56,51,81,92,124,127,103,0,680,102,132,216,230
16/09/2021,655,22,13,18,62,59,87,81,105,136,72,0,655,115,146,186,208
17/09/2021,523,13,14,15,49,46,54,84,79,95,74,0,523,91,100,163,169
18/09/2021,540,19,9,16,52,56,45,69,86,119,69,0,540,96,101,155,188
19/09/2021,548,10,15,15,50,54,59,66,78,130,66,5,543,90,113,144,196
20/09/2021,594,20,16,18,55,57,63,78,90,119,78,0,594,109,120,168,197
21/09/2021,591,18,26,11,52,61,63,79,105,101,75,0,591,107,124,184,176
22/09/2021,555,6,28,13,45,54,63,66,97,95,88,0,555,92,117,163,183
23/09/2021,564,9,18,22,50,54,59,69,108,90,85,0,564,99,113,177,175
24/09/2021,545,17,18,17,42,51,60,64,96,106,74,0,545,94,111,160,180
25/09/2021,503,16,13,14,35,49,56,55,82,102,81,0,503,78,105,137,183
26/09/2021,523,15,19,12,40,47,81,71,68,96,74,0,523,86,128,139,170
27/09/2021,603,16,24,17,34,60,80,59,103,126,83,1,602,91,140,162,209
28/09/2021,579,9,24,16,36,63,74,65,100,118,74,0,579,85,137,165,192
29/09/2021,610,19,22,16,54,79,75,71,91,112,71,0,610,111,154,162,183
30/09/2021,540,16,23,16,37,66,65,62,81,107,67,0,540,92,131,143,174
